genus,species,accession,phenotype,antibiotic,measurement_value,assign_phenotype,recategorized_MIC
Streptococcus,pneumoniae,ERR016691,Resistant,ERY,2.0,Resistant,2.0
Streptococcus,pneumoniae,ERR016694,Resistant,ERY,1.0,Resistant,1.0
Streptococcus,pneumoniae,ERR016695,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR016699,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR016700,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR016713,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR016721,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR016725,Susceptible,ERY,0.125,Susceptible,0.12
Streptococcus,pneumoniae,ERR016728,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016729,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016733,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR016736,Susceptible,ERY,0.12,Susceptible,0.12
Streptococcus,pneumoniae,ERR016745,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR016746,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016747,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016750,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016751,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016753,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016756,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016758,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016759,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016766,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016769,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016772,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016777,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016782,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016785,Resistant,ERY,3.0,Resistant,4.0
Streptococcus,pneumoniae,ERR016794,Resistant,ERY,3.0,Resistant,4.0
Streptococcus,pneumoniae,ERR016798,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016800,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016802,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR016839,Susceptible,ERY,0.12,Susceptible,0.12
Streptococcus,pneumoniae,ERR016840,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR016843,Susceptible,ERY,0.12,Susceptible,0.12
Streptococcus,pneumoniae,ERR016847,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR016850,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR016857,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR016860,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR018818,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR018823,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR018826,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR019700,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR019702,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR019703,Resistant,ERY,512.0,Resistant,64.0
Streptococcus,pneumoniae,ERR019710,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR019713,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR019714,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR019719,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR019720,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR019723,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR019724,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR019725,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR019731,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR019734,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR023417,Resistant,ERY,16.0,Resistant,16.0
Streptococcus,pneumoniae,ERR023426,Resistant,ERY,16.0,Resistant,16.0
Streptococcus,pneumoniae,ERR023429,Resistant,ERY,16.0,Resistant,16.0
Streptococcus,pneumoniae,ERR023434,Susceptible,ERY,0.125,Susceptible,0.12
Streptococcus,pneumoniae,ERR023438,Resistant,ERY,2.0,Resistant,2.0
Streptococcus,pneumoniae,ERR023439,Resistant,ERY,16.0,Resistant,16.0
Streptococcus,pneumoniae,ERR023449,Resistant,ERY,16.0,Resistant,16.0
Streptococcus,pneumoniae,ERR023450,Resistant,ERY,16.0,Resistant,16.0
Streptococcus,pneumoniae,ERR023451,Resistant,ERY,16.0,Resistant,16.0
Streptococcus,pneumoniae,ERR023453,Resistant,ERY,16.0,Resistant,16.0
Streptococcus,pneumoniae,ERR023457,Susceptible,ERY,0.125,Susceptible,0.12
Streptococcus,pneumoniae,ERR024211,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR024218,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR024224,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR024225,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR024226,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR024227,Resistant,ERY,1.0,Resistant,1.0
Streptococcus,pneumoniae,ERR024228,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR024229,Resistant,ERY,2.0,Resistant,2.0
Streptococcus,pneumoniae,ERR024230,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR024231,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR024232,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR024233,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR024234,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR024235,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR024236,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR024271,Resistant,ERY,1.0,Resistant,1.0
Streptococcus,pneumoniae,ERR024276,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR024277,Resistant,ERY,2.0,Resistant,2.0
Streptococcus,pneumoniae,ERR024278,Resistant,ERY,1.0,Resistant,1.0
Staphylococcus,aureus,ERR029343,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029344,Susceptible,ERY,,Susceptible,
Staphylococcus,aureus,ERR029345,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029347,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029348,Susceptible,ERY,,Susceptible,
Staphylococcus,aureus,ERR029350,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029351,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029353,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029357,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029358,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029359,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029360,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029363,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029367,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029369,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029373,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029374,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029376,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029378,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029379,Susceptible,ERY,,Susceptible,
Staphylococcus,aureus,ERR029380,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029388,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029389,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029456,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029462,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029463,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029464,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029465,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029472,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029473,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029476,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR029478,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030145,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030148,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030150,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030153,Susceptible,ERY,,Susceptible,
Staphylococcus,aureus,ERR030158,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030159,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030161,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030162,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030167,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030168,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030170,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030171,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030172,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030175,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030181,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030183,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030184,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030186,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030189,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030191,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030193,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030194,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030197,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030201,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030202,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030204,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030210,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030213,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030214,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030215,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030222,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030226,Susceptible,ERY,,Susceptible,
Staphylococcus,aureus,ERR030231,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030234,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030238,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030239,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030241,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030242,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030244,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030245,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030246,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030247,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030250,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030251,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030252,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030253,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030254,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030258,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030265,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030268,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030270,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030276,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030277,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030278,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030280,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR030281,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR031661,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR031665,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR031670,Resistant,ERY,,Resistant,
Streptococcus,pneumoniae,ERR051794,Resistant,ERY,16.0,Resistant,16.0
Streptococcus,pneumoniae,ERR051801,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR051829,Resistant,ERY,16.0,Resistant,16.0
Streptococcus,pneumoniae,ERR051833,Resistant,ERY,16.0,Resistant,16.0
Streptococcus,pneumoniae,ERR051858,Resistant,ERY,8.0,Resistant,8.0
Streptococcus,pneumoniae,ERR051871,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR051878,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR051896,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR051902,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR051924,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR051930,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR051948,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR051978,Resistant,ERY,1.0,Resistant,1.0
Streptococcus,pneumoniae,ERR051982,Resistant,ERY,8.0,Resistant,8.0
Streptococcus,pneumoniae,ERR051990,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR051993,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR051994,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR051995,Resistant,ERY,8.0,Resistant,8.0
Streptococcus,pneumoniae,ERR051996,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR051999,Resistant,ERY,16.0,Resistant,16.0
Streptococcus,pneumoniae,ERR052017,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR052023,Resistant,ERY,256.0,Resistant,64.0
Streptococcus,pneumoniae,ERR052024,Resistant,ERY,4.0,Resistant,4.0
Streptococcus,pneumoniae,ERR052039,Resistant,ERY,2.0,Resistant,2.0
Streptococcus,pneumoniae,ERR052325,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR052331,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR052438,Resistant,ERY,32.0,Resistant,32.0
Streptococcus,pneumoniae,ERR052464,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR052465,Resistant,ERY,16.0,Resistant,16.0
Streptococcus,pneumoniae,ERR052466,Resistant,ERY,64.0,Resistant,64.0
Streptococcus,pneumoniae,ERR052467,Resistant,ERY,128.0,Resistant,64.0
Streptococcus,pneumoniae,ERR052526,Resistant,ERY,32.0,Resistant,32.0
Staphylococcus,aureus,ERR053008,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR053016,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR053018,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR053022,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR053025,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR053031,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR053032,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR053034,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR053035,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR053039,Resistant,ERY,,Resistant,
Staphylococcus,aureus,ERR053046,Resistant,ERY,,Resistant,
Streptococcus,pneumoniae,ERR065293,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065294,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR065295,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065296,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065297,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR065300,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065301,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065304,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065307,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065309,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR065310,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065311,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065312,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065314,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR065316,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065317,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065318,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065320,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR065325,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065326,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065327,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065328,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065332,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR065337,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR065339,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065340,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR065342,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065344,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR065348,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065352,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR065353,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR065355,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065953,Resistant,ERY,1.0,Resistant,1.0
Streptococcus,pneumoniae,ERR065958,Susceptible,ERY,0.03,Susceptible,0.06
Streptococcus,pneumoniae,ERR065959,Susceptible,ERY,0.03,Susceptible,0.06
Streptococcus,pneumoniae,ERR065964,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR065969,Susceptible,ERY,0.03,Susceptible,0.06
Streptococcus,pneumoniae,ERR065971,Susceptible,ERY,0.03,Susceptible,0.06
Streptococcus,pneumoniae,ERR067960,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR067961,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR067962,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR067963,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR067966,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR067967,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR067969,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR067970,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR067974,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR067975,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR067976,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR067978,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR067979,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR067982,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR067983,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR067985,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR067986,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR067988,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR067990,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR067995,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR067998,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR067999,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR068000,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR068001,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR068003,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR068004,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR068005,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR068007,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR068012,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR068019,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR068021,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR068023,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR068026,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR068028,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR068029,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR068030,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR068031,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR068032,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR068033,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR068035,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR068036,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR068038,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR068039,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR068043,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR068044,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR068046,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR068049,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR069683,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR069691,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR069693,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR069694,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR069698,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR069699,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR069700,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR069704,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR069705,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR069706,Intermediate,ERY,0.5,Susceptible,0.5
Streptococcus,pneumoniae,ERR069707,Susceptible,ERY,0.06,Susceptible,0.06
Streptococcus,pneumoniae,ERR069708,Susceptible,ERY,0.06,Susceptible,0.06
