genus	species	accession	genome	ani	new_genus	phenotype	antibiotic	measurement_sign	measurement_value	measurement_unit	laboratory_typing_method	laboratory_typing_platform	testing_standard	testing_standard_year	publication	isolation_source	isolation_country	collection_date	scientific_name_CAMDA	scientific_name_NCBI	scientific_name_Antibiogram	status	status_reference
Neisseria	gonorrhoeae	ERR2133899	ENA_SAMEA104313204	0.997	Neisseria	Susceptible	TET	<=	0.08	mg/L	Broth dilution	NA	CLSI	2013	29247013	Pharyngeal	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827257	ENA_SAMN07350945	0.997	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827173	ENA_SAMN07351196	0.998	Neisseria	Susceptible	TET	NA	0.25	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR350006	NA	NA	NA	Susceptible	TET	NA	0.25	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Slovenia	NA	Neisseria gonorrhoeae	NA	NA	Missing_All	No_sources
Neisseria	gonorrhoeae	ERR350033	NA	NA	NA	Susceptible	TET	NA	0.25	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Slovenia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	NA	Matched_NCBI	Verify_sources
Neisseria	gonorrhoeae	ERR2133898	ENA_SAMEA104313203	0.997	Neisseria	Susceptible	TET	<=	0.08	mg/L	Broth dilution	NA	CLSI	2013	29247013	urethra	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827255	ENA_SAMN07350943	0.998	Neisseria	Susceptible	TET	NA	0.25	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR2133939	ENA_SAMEA104313244	0.997	Neisseria	Susceptible	TET	<=	0.04	mg/L	Broth dilution	NA	CLSI	2013	29247013	Pharyngeal	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827331	ENA_SAMN07351127	0.997	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR1661241	ENA_SAMN03201587	0.998	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	25378573	Penis/Urethra	Canada	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR2133952	ENA_SAMEA104313257	0.997	Neisseria	Susceptible	TET	<=	0.04	mg/L	Broth dilution	NA	CLSI	2013	29247013	Pharyngeal	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR1661178	ENA_SAMN03201524	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	25378573	Cervix	Canada	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827210	ENA_SAMN07351160	0.998	Neisseria	Susceptible	TET	NA	0.25	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827194	ENA_SAMN07351226	0.996	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR2133894	ENA_SAMEA104313199	0.997	Neisseria	Susceptible	TET	<=	0.08	mg/L	Broth dilution	NA	CLSI	2013	29247013	Pharyngeal	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR449511	ENA_SAMEA2201919	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Guinea-Bissau	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	SRR5827120	ENA_SAMN07351008	0.997	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR449506	ENA_SAMEA2201914	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Guinea-Bissau	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	ERR363632	ENA_SAMEA2158532	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Pakistan	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	ERR2133941	ENA_SAMEA104313246	0.996	Neisseria	Susceptible	TET	<=	0.04	mg/L	Broth dilution	NA	CLSI	2013	29247013	Rectal	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR1661288	ENA_SAMN03201634	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	25378573	Cervix	Canada	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR1661234	ENA_SAMN03201580	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	25378573	NA	Canada	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827046	ENA_SAMN07350959	0.997	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827379	ENA_SAMN07351247	0.998	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR223630	ENA_SAMEA1690472	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	24462211	urethra	USA	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	SRR5827300	ENA_SAMN07351202	0.997	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR2133948	ENA_SAMEA104313253	0.996	Neisseria	Susceptible	TET	<=	0.04	mg/L	Broth dilution	NA	CLSI	2013	29247013	Pharyngeal	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR449485	ENA_SAMEA2201893	0.997	Neisseria	Susceptible	TET	NA	0.125	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Cape Verde	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	SRR5827212	ENA_SAMN07351158	0.998	Neisseria	Susceptible	TET	NA	0.25	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR363646	ENA_SAMEA2159110	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Pakistan	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	SRR5827286	ENA_SAMN07351089	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR1661257	ENA_SAMN03201603	0.998	Neisseria	Susceptible	TET	NA	0.125	mg/L	Broth dilution	NA	CLSI	2013	25378573	Cervix	Canada	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR363636	ENA_SAMEA2143172	0.997	Neisseria	Susceptible	TET	NA	0.125	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	India	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	ERR2133905	ENA_SAMEA104313210	0.997	Neisseria	Susceptible	TET	<=	0.08	mg/L	Broth dilution	NA	CLSI	2013	29247013	urethra	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR2133910	ENA_SAMEA104313215	0.997	Neisseria	Susceptible	TET	<=	0.08	mg/L	Broth dilution	NA	CLSI	2013	29247013	Pharyngeal	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR2133909	ENA_SAMEA104313214	0.997	Neisseria	Susceptible	TET	<=	0.08	mg/L	Broth dilution	NA	CLSI	2013	29247013	urethra	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827313	ENA_SAMN07350982	0.998	Neisseria	Susceptible	TET	NA	0.25	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR350060	NA	NA	NA	Susceptible	TET	NA	0.008	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Poland	NA	Neisseria gonorrhoeae	NA	NA	Missing_All	No_sources
Neisseria	gonorrhoeae	SRR1661169	ENA_SAMN03201515	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	25378573	Penis/Urethra	Canada	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR223690	ENA_SAMEA1690415	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	24462211	urethra	USA	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR2133938	ENA_SAMEA104313243	0.997	Neisseria	Susceptible	TET	<=	0.04	mg/L	Broth dilution	NA	CLSI	2013	29247013	Rectal	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827401	ENA_SAMN07351316	0.998	Neisseria	Susceptible	TET	NA	0.25	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR1661171	ENA_SAMN03201517	0.998	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	25378573	Cervix	Canada	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR222919	ENA_SAMEA1677393	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	24462211	urethra	USA	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	SRR5827238	ENA_SAMN07351012	0.997	Neisseria	Susceptible	TET	NA	0.06	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827119	ENA_SAMN07351009	0.997	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827061	ENA_SAMN07351186	0.998	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827285	ENA_SAMN07351090	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR352811	NA	NA	NA	Susceptible	TET	NA	0.19	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Thailand	NA	Neisseria gonorrhoeae	NA	NA	Missing_All	No_sources
Neisseria	gonorrhoeae	ERR449486	ENA_SAMEA2201894	0.997	Neisseria	Susceptible	TET	NA	0.125	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Cape Verde	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	ERR2133955	ENA_SAMEA104313260	0.997	Neisseria	Susceptible	TET	<=	0.04	mg/L	Broth dilution	NA	CLSI	2013	29247013	Rectal	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827384	ENA_SAMN07351121	0.997	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827411	ENA_SAMN07350992	0.998	Neisseria	Susceptible	TET	NA	0.25	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR352821	NA	NA	NA	Susceptible	TET	NA	0.25	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Thailand	NA	Neisseria gonorrhoeae	NA	NA	Missing_All	No_sources
Neisseria	gonorrhoeae	ERR222899	ENA_SAMEA1677394	0.998	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	24462211	urethra	USA	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	SRR5827393	ENA_SAMN07351217	0.997	Neisseria	Susceptible	TET	NA	0.06	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR5827162	ENA_SAMN07351096	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR363644	ENA_SAMEA2154579	0.997	Neisseria	Susceptible	TET	NA	0.19	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Pakistan	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	ERR2133930	ENA_SAMEA104313235	0.996	Neisseria	Susceptible	TET	<=	0.08	mg/L	Broth dilution	NA	CLSI	2013	29247013	Rectal	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	SRR969377	BVBRC_1351797.3	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	25780762	urinogenital fluid	NA	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR2133924	ENA_SAMEA104313229	0.997	Neisseria	Susceptible	TET	<=	0.08	mg/L	Broth dilution	NA	CLSI	2013	29247013	urethra	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR363660	ENA_SAMEA2146774	0.997	Neisseria	Susceptible	TET	NA	0.19	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Bhutan	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	ERR502239	ENA_SAMEA2298509	0.997	Neisseria	Susceptible	TET	NA	0.125	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Cote dIvoire	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	ERR2133914	ENA_SAMEA104313219	0.997	Neisseria	Susceptible	TET	<=	0.08	mg/L	Broth dilution	NA	CLSI	2013	29247013	urethra	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR388331	NA	NA	NA	Susceptible	TET	NA	0.25	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Slovenia	NA	Neisseria gonorrhoeae	NA	NA	Missing_All	No_sources
Neisseria	gonorrhoeae	SRR1661289	ENA_SAMN03201635	0.997	Neisseria	Susceptible	TET	NA	0.25	mg/L	Broth dilution	NA	CLSI	2013	25378573	Cervix	Canada	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR388332	NA	NA	NA	Susceptible	TET	NA	0.125	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Slovenia	NA	Neisseria gonorrhoeae	NA	NA	Missing_All	No_sources
Neisseria	gonorrhoeae	SRR5827325	ENA_SAMN07351125	0.998	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR2133935	ENA_SAMEA104313240	0.996	Neisseria	Susceptible	TET	<=	0.04	mg/L	Broth dilution	NA	CLSI	2013	29247013	urethra	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR363663	ENA_SAMEA2143785	0.997	Neisseria	Susceptible	TET	NA	0.19	mg/L	Disk diffusion	E-test	CLSI	2013	31358980	NA	Bhutan	NA	Neisseria gonorrhoeae	NA	Neisseria gonorrhoeae	Matched_Antibiogram	Verify_sources
Neisseria	gonorrhoeae	SRR5827072	ENA_SAMN07351195	0.997	Neisseria	Susceptible	TET	NA	0.12	mg/L	Agar dilution	NA	CLSI	2013	32602459	NA	New Zealand	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
Neisseria	gonorrhoeae	ERR2133913	ENA_SAMEA104313218	0.997	Neisseria	Susceptible	TET	<=	0.08	mg/L	Broth dilution	NA	CLSI	2013	29247013	Pharyngeal	Australia	NA	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Neisseria gonorrhoeae	Matched_NCBI_Antibiogram	Good_sources
