genus	species	scientific_name_new	accession	genome	phenotype	antibiotic	measurement_value	ani	new_genus	recategorized_mic	phenotype_assigned
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR350006	NA	Susceptible	TET	0.25	NA	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR350033	NA	Susceptible	TET	0.25	NA	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133898	ENA_SAMEA104313203	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827255	ENA_SAMN07350943	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133939	ENA_SAMEA104313244	Susceptible	TET	0.04	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827331	ENA_SAMN07351127	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661241	ENA_SAMN03201587	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133952	ENA_SAMEA104313257	Susceptible	TET	0.04	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661178	ENA_SAMN03201524	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827210	ENA_SAMN07351160	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827194	ENA_SAMN07351226	Susceptible	TET	0.12	0.996	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133894	ENA_SAMEA104313199	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR449511	ENA_SAMEA2201919	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827120	ENA_SAMN07351008	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR449506	ENA_SAMEA2201914	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR363632	ENA_SAMEA2158532	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133941	ENA_SAMEA104313246	Susceptible	TET	0.04	0.996	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661288	ENA_SAMN03201634	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661234	ENA_SAMN03201580	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827046	ENA_SAMN07350959	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827379	ENA_SAMN07351247	Susceptible	TET	0.12	0.998	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR223630	ENA_SAMEA1690472	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827300	ENA_SAMN07351202	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133948	ENA_SAMEA104313253	Susceptible	TET	0.04	0.996	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR449485	ENA_SAMEA2201893	Susceptible	TET	0.125	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827212	ENA_SAMN07351158	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR363646	ENA_SAMEA2159110	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827286	ENA_SAMN07351089	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661257	ENA_SAMN03201603	Susceptible	TET	0.125	0.998	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR363636	ENA_SAMEA2143172	Susceptible	TET	0.125	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133905	ENA_SAMEA104313210	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133910	ENA_SAMEA104313215	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133909	ENA_SAMEA104313214	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827313	ENA_SAMN07350982	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR350060	NA	Susceptible	TET	0.008	NA	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661169	ENA_SAMN03201515	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR223690	ENA_SAMEA1690415	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133938	ENA_SAMEA104313243	Susceptible	TET	0.04	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827401	ENA_SAMN07351316	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661171	ENA_SAMN03201517	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR222919	ENA_SAMEA1677393	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827238	ENA_SAMN07351012	Susceptible	TET	0.06	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827119	ENA_SAMN07351009	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827061	ENA_SAMN07351186	Susceptible	TET	0.12	0.998	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827285	ENA_SAMN07351090	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR352811	NA	Susceptible	TET	0.19	NA	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR449486	ENA_SAMEA2201894	Susceptible	TET	0.125	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133955	ENA_SAMEA104313260	Susceptible	TET	0.04	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827384	ENA_SAMN07351121	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827411	ENA_SAMN07350992	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR352821	NA	Susceptible	TET	0.25	NA	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR222899	ENA_SAMEA1677394	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827393	ENA_SAMN07351217	Susceptible	TET	0.06	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827162	ENA_SAMN07351096	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR363644	ENA_SAMEA2154579	Susceptible	TET	0.19	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133930	ENA_SAMEA104313235	Susceptible	TET	0.08	0.996	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR969377	BVBRC_1351797.3	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133924	ENA_SAMEA104313229	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR363660	ENA_SAMEA2146774	Susceptible	TET	0.19	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR502239	ENA_SAMEA2298509	Susceptible	TET	0.125	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133914	ENA_SAMEA104313219	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR388331	NA	Susceptible	TET	0.25	NA	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661289	ENA_SAMN03201635	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR388332	NA	Susceptible	TET	0.125	NA	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827325	ENA_SAMN07351125	Susceptible	TET	0.12	0.998	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133935	ENA_SAMEA104313240	Susceptible	TET	0.04	0.996	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR363663	ENA_SAMEA2143785	Susceptible	TET	0.19	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827072	ENA_SAMN07351195	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133913	ENA_SAMEA104313218	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133902	ENA_SAMEA104313207	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661236	ENA_SAMN03201582	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827231	ENA_SAMN07351163	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR191801	ENA_SAMEA1690471	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR363647	ENA_SAMEA2160883	Susceptible	TET	0.125	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827183	ENA_SAMN07351022	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827306	ENA_SAMN07350989	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR388449	NA	Susceptible	TET	0.19	NA	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR449510	ENA_SAMEA2201918	Susceptible	TET	0.19	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661177	ENA_SAMN03201523	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827213	ENA_SAMN07351157	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827184	ENA_SAMN07351182	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR976912	ENA_SAMEA3497570	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827157	ENA_SAMN07350968	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR388327	NA	Susceptible	TET	0.016	NA	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133900	ENA_SAMEA104313205	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661260	ENA_SAMN03201606	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827087	ENA_SAMN07351145	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827341	ENA_SAMN07351287	Susceptible	TET	0.06	0.996	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827023	ENA_SAMN07351173	Susceptible	TET	0.06	0.998	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827152	ENA_SAMN07350965	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR352786	NA	Susceptible	TET	0.125	NA	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827197	ENA_SAMN07351229	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827137	ENA_SAMN07351271	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133912	ENA_SAMEA104313217	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827370	ENA_SAMN07351339	Susceptible	TET	0.12	0.998	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133932	ENA_SAMEA104313237	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR350032	NA	Susceptible	TET	0.125	NA	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661239	ENA_SAMN03201585	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133931	ENA_SAMEA104313236	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR352792	NA	Susceptible	TET	0.125	NA	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827126	ENA_SAMN07351010	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827354	ENA_SAMN07351079	Susceptible	TET	0.03	0.998	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR449468	ENA_SAMEA2201876	Susceptible	TET	0.125	0.996	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661162	ENA_SAMN03201508	Susceptible	TET	0.125	0.998	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR191779	ENA_SAMEA1690453	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827116	ENA_SAMN07351306	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR388306	NA	Susceptible	TET	0.25	NA	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133947	ENA_SAMEA104313252	Susceptible	TET	0.04	0.996	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR363584	ENA_SAMEA2163471	Susceptible	TET	0.125	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827217	ENA_SAMN07351153	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133925	ENA_SAMEA104313230	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827154	ENA_SAMN07350967	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133923	ENA_SAMEA104313228	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133897	ENA_SAMEA104313202	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827299	ENA_SAMN07351205	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR388437	NA	Susceptible	TET	0.125	NA	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827288	ENA_SAMN07351087	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827264	ENA_SAMN07351261	Susceptible	TET	0.12	0.998	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133896	ENA_SAMEA104313201	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133904	ENA_SAMEA104313209	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133908	ENA_SAMEA104313213	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661180	ENA_SAMN03201526	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827240	ENA_SAMN07351020	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133906	ENA_SAMEA104313211	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR388398	NA	Susceptible	TET	0.094	NA	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR485168	ENA_SAMEA2201955	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827145	ENA_SAMN07351263	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR352769	NA	Susceptible	TET	0.125	NA	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR363662	ENA_SAMEA2157800	Susceptible	TET	0.19	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133934	ENA_SAMEA104313239	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR449492	ENA_SAMEA2201900	Susceptible	TET	0.094	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR352767	NA	Susceptible	TET	0.25	NA	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827287	ENA_SAMN07351088	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827042	ENA_SAMN07350961	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR223696	ENA_SAMEA1690454	Susceptible	TET	0.25	0.997	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827081	ENA_SAMN07351326	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR388360	NA	Susceptible	TET	0.008	NA	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661285	ENA_SAMN03201631	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827024	ENA_SAMN07351172	Susceptible	TET	0.12	0.998	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR1661318	ENA_SAMN03201664	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR485167	ENA_SAMEA2201954	Susceptible	TET	0.125	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827352	ENA_SAMN07351135	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827222	ENA_SAMN07351297	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR388333	NA	Susceptible	TET	0.25	NA	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827252	ENA_SAMN07350950	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827035	ENA_SAMN07351276	Susceptible	TET	0.12	0.998	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133903	ENA_SAMEA104313208	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133940	ENA_SAMEA104313245	Susceptible	TET	0.04	0.996	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133919	ENA_SAMEA104313224	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133915	ENA_SAMEA104313220	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827207	ENA_SAMN07351132	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR2133916	ENA_SAMEA104313221	Susceptible	TET	0.08	0.997	Neisseria	0.06	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827063	ENA_SAMN07351188	Susceptible	TET	0.12	0.997	Neisseria	0.12	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	SRR5827303	ENA_SAMN07351211	Susceptible	TET	0.25	0.998	Neisseria	0.25	Susceptible
Neisseria	gonorrhoeae	Neisseria gonorrhoeae	ERR363637	ENA_SAMEA2163371	Susceptible	TET	0.016	0.997	Neisseria	0.06	Susceptible
